p_name,p_price,p_score,p_region,p_year
Gevrey-Chambertin Les Cazetiers,75,92,Burgundy,1996
Riesling Kabinett Halbtrocken Rheingau,16,83,Germany,1996
Chardonnay Willamette Valley Clonal Selection Espiguette #352,17,84,Oregon,1995
Periquita Terras do Sado Classico,21,83,Portugal,1992
Blanc de Blancs Anderson Valley,28,85,Mendocino Lake,1994
Riesling Auslese Rheingau Geisenheimer Rothenberg,30,83,Germany,1996
Mercurey La Cailloute,,80,Burgundy,1994
Four Kings Scharf Family Vineyard Sonoma County,20,87,Sonoma,1994
Riesling Auslese Gold Cap Mosel-Saar-Ruwer Erdener Prälat,61,94,Germany,1993
Corton-Charlemagne,103,91,Burgundy,1998
Toscana Ripa delle Mandorle,20,87,Tuscany,1996
Bourgogne,18,83,Burgundy,1993
Zinfandel Howell Mountain The French Connection Unfiltered,22,85,Napa,1995
Riesling Auslese Mosel-Saar-Ruwer Ürziger Wurzgarten,17,87,Germany,1996
Chateauneuf-du-Pape Comte de Gabet,22,88,Rhone,1998
Cabernet Sauvignon Napa Valley Peter Mondavi Family,17,87,Napa,1997
Shiraz South Eastern Australia,8,87,Australia,1994
Brut Champagne Carte d'Or Prestige,30,83,Champagne,
Fleurie Domaine du Grand Garant,13,86,Beaujolais,1996
Regnie,8,85,Beaujolais,1996
Pouilly-Fuisse La Roche Selection Vieilles Vignes Cuvee No. 1,,86,Burgundy,1994
Hermitage White,90,90,Rhone,1996
Riesling Spätlese Nahe Roxheimer Berg,16,84,Germany,1992
Cabernet Sauvignon Yakima Valley,12,85,Washington,1998
Chardonnay Yamhill County Reserve,20,85,Oregon,1997
Priorat Dolc de L'Obac,80,91,Spain,1997
Chardonnay Central Coast,22,91,Other California,1998
Gattinara Riserva,33,85,Piedmont,1995
Riesling Marlborough,12,87,New Zealand,1998
Muscadet de Sevre et Maine Sur Lie La Nobleraie,6,81,Loire,1997
Cabernet Sauvignon California Barrel Select,8,78,Other California,1993
Chianti Rufina Bucerchiale Riserva,20,89,Tuscany,1995
Corbieres,9,87,Languedoc-Roussillon,1992
Shiraz Paso Robles,20,90,South Coast,1997
Chassagne-Montrachet,17,73,Burgundy,1992
Navarra,8,77,Spain,1997
Corton Les Marechaudes,50,73,Burgundy,1997
Puligny-Montrachet Clavoillon,65,90,Burgundy,1996
Rosso di Montalcino,,83,Tuscany,1992
Bourgogne La Vignee,,70,Burgundy,1992
Pinot Noir Carneros,24,82,Carneros,1998
Canon-Fronsac,17,78,Bordeaux,1996
Pessac-Leognan White,115,88,Bordeaux,1997
Viognier Mount Harlan,36,88,Bay Area - Central Coast,1999
Echezeaux,85,86,Burgundy,1995
Cabernet Sauvignon Napa Valley Red Rock Terrace,,91,Napa,1992
Pinot Noir Oregon Whole Berry Fermented,13,84,Oregon,1996
Cabernet Sauvignon Napa Valley,93,94,Napa,1994
Cabernet Rose d'Anjou,7,76,Loire,1994
Chardonnay Russian River Valley,18,85,Sonoma,1998
Cabernet Sauvignon Barossa,18,89,Australia,1996
Dolcetto d'Alba Coste & Fossati,20,91,Piedmont,1996
Chablis Moutonne,56,94,Burgundy,1997
Zinfandel Russian River Valley Barbieri Ranch,20,86,Sonoma,1996
Chardonnay Napa Valley Carneros,16,90,Carneros,1992
Chardonnay Oregon,20,87,Oregon,1996
Meursault Les Charmes,68,87,Burgundy,1997
Red Table Wine Lake County,5,80,Mendocino Lake,
Riesling Auslese Rheingau Rudesheimer Berg Schlossberg,45,84,Germany,1998
Chianti Classico Riserva,23,84,Tuscany,1995
St.-Aubin En Remilly,25,78,Burgundy,1995
Sauvignon Blanc Willamette Valley,9,87,Oregon,1997
Brunello di Montalcino Riserva,69,85,Tuscany,1994
Chardonnay Russian River Valley Vine Hill Vineyard,42,94,Sonoma,1995
Sauvignon Blanc Oakville,23,88,Napa,1998
Pinot Noir Russian River Valley,10,82,Sonoma,1996
Zinfandel Contra Costa County Reserve,22,89,Bay Area - Central Coast,1994
Sauvignon Blanc Central Coast,14,87,Other California,1997
Merlot Venezie Esperto,14,83,Northeast,1995
Monthelie White,20,83,Burgundy,1994
Fume Blanc Dry Creek Valley,16,86,Sonoma,1998
St.-Veran Vieilles Vignes,,88,Burgundy,1995
Chablis Valmur,47,81,Burgundy,1993
Nuits-St.-Georges,52,94,Burgundy,1996
Fiano Paestum,,84,Other Italy,1998
Penedes Mediterranean Red,5,83,Spain,
Pinot Noir Santa Ynez Valley Estate Grown,30,85,South Coast,1992
Coteaux du Languedoc Pic St.-Loup Grande Cuvee,22,87,Languedoc-Roussillon,1995
Sangiovese Shenandoah Valley,10,87,Sierra Foothills,1994
Chardonnay Napa Valley Hillside,20,78,Napa,1995
Syrah Napa Valley,30,89,Napa,1993
Bolgheri,,86,Tuscany,1994
Albarino Rias Baixas,15,85,Spain,1997
Margaux,,,Bordeaux,1999
Riesling Spätlese Pfalz Forster Jesuitengarten,27,88,Germany,1997
Chardonnay-Semillon Rogue Valley,11,86,Oregon,
Coteaux du Languedoc Pic St.-Loup,10,88,Languedoc-Roussillon,1998
Chardonnay Santa Barbara County,15,88,South Coast,1994
Beaujolais Nouveau,9,84,Beaujolais,1999
Barbera d'Alba,12,68,Piedmont,1996
Colli dell'Etruria Centrale La Rosa Bianca,,65,Tuscany,1995
Sauvignon Blanc Hawkes Bay,14,88,New Zealand,1996
St.-Aubin Clos de la Chateniere,22,92,Burgundy,1996
Merlot Napa Valley,31,88,Napa,1995
Macon-Villages,,77,Burgundy,1995
Cabernet Sauvignon Sonoma County Reserve,45,92,Sonoma,1996
Riesling Kabinett Mosel-Saar-Ruwer Maximin Grunhäuser Herrenberg,20,83,Germany,1993
Chardonnay Toscana Fontanelle,18,89,Tuscany,1996
Valais White La Tremaille,35,88,Valais,1994
Tokay Pinot Gris Alsace Cuvee Laurence,62,89,Alsace,1996
Cabernet Sauvignon Napa Valley,35,87,Napa,1993
Pinot Grigio Collio,16,83,Northeast,1994
Meursault Les Perrieres,36,86,Burgundy,1993
Pinot Gris Marlborough,15,88,New Zealand,1998
Riesling Eiswein Gold Cap * Mosel-Saar-Ruwer Serrig Wurtzberg,53,92,Germany,1998
Johannisberg Riesling Santa Barbara County,9,84,South Coast,1993
Chassagne-Montrachet Red Clos de la Boudriotte,30,90,Burgundy,1995
Chardonnay Australia Hanwood Estate,7,77,Australia,1992
Merlot California Founders' Estate,9,85,Other California,1997
Riesling Kabinett Pfalz Deidesheimer Kieselberg,15,86,Germany,1994
Riesling Auslese Nahe Traisener Rotenfels,34,84,Germany,1992
Cabernet Sauvignon Rutherford,50,90,Napa,1996
Cabernet Sauvignon Curico District,9,85,Chile,1996
Chardonnay Napa Valley Art Cuvee,10,70,Napa,1996
Cabernet Sauvignon Sonoma County,45,91,Sonoma,1997
Barbera d'Asti Bricco Battista,25,78,Piedmont,1997
Chardonnay Central Coast San Simeon Reserve,14,84,Other California,1996
Chardonnay Yarra Valley,12,85,Australia,1995
Shiraz Australia,12,88,Australia,1998
Riesling Michigan,10,78,Michigan,1997
Pouilly-Fume L'Arret Buffatte,19,78,Loire,1997
St.-Emilion,25,80,Bordeaux,1994
Pinot Noir Russian River Valley Dutton Ranch,24,85,Sonoma,1993
Merlot Rapel La Palma Reserve,11,84,Chile,1997
Zinfandel California Vintner's Reserve,18,82,Other California,1995
Merlot Maipo Valley Reserve,8,88,Chile,1992
Rioja White Satinela,7,83,Spain,1999
Chianti Classico,,86,Tuscany,1994
Gewurztraminer Washington Celilo Vineyard Reserve,10,72,Washington,1992
Merlot Walla Walla Valley Spring Valley Vineyard,25,88,Washington,1997
Bonnes Mares,90,88,Burgundy,1994
Chambolle-Musigny Domaine du Village,37,84,Burgundy,1997
St.-Emilion,,,Bordeaux,1999
Barbera d'Asti Superiore Generala,50,79,Piedmont,1998
Sauvignon Blanc Napa Valley Late Harvest Special Select,14,87,Napa,1992
Riesling Spätlese Rheingau,28,90,Germany,1996
Beaune White Clos St.-Landry,50,90,Burgundy,1996
Toscana Aquilaia,18,85,Tuscany,1997
Zinfandel Napa Valley Old Vines,19,89,Napa,1995
Bordeaux White Cuvee Antholien,,86,Bordeaux,1993
Pessac-Leognan White,,79,Bordeaux,1992
Cornas Chante-Perdrix,32,90,Rhone,1997
Pinot Gris Oregon,10,83,Oregon,1993
Pessac-Leognan White,18,83,Bordeaux,1994
Clos de la Roche,50,85,Burgundy,1996
Napa Valley,80,96,Napa,1997
Muscadel Robertson Blush Blanc de Noir,7,82,South Africa,1997
Chardonnay Victoria,11,86,Australia,1998
Riesling Kabinett Halbtrocken Mosel-Saar-Ruwer Graacher Dompropst,17,85,Germany,1997
Chardonnay Willamette Valley Vintner's Cuvee,5,85,Oregon,1996
Ruster Ausbruch Neusiedlersee-Hugelland,40,86,Burgenland,1995
Irouleguy Cuvee Haitza,22,89,Other France,1997
Shiraz Adelaide Hills,28,78,Australia,1996
Muscadet de Sevre et Maine Sur Lie Chateau de la Gravelle,15,83,Loire,1995
Pinot Noir California Vintner's Reserve,16,84,Other California,1997
Merlot California Barrel Select,15,82,Other California,1996
Pinot Noir Arroyo Seco,14,84,Bay Area - Central Coast,1992
Zinfandel Napa Valley Korte Ranch,14,88,Napa,1993
Riesling Auslese Gold Cap Mosel-Saar-Ruwer Josephshofer,26,88,Germany,1996
Gruner Veltliner Qualitätswein Trocken Kamptal Alte Reben,28,90,Niederosterreich,1997
Chardonnay Napa Valley,21,87,Napa,1998
Lebanon White,20,83,Lebanon,1996
Macon-Villages,8,87,Burgundy,1997
Falerno del Massico,18,85,Other Italy,1998
Gevrey-Chambertin Champlain,29,82,Burgundy,1994
Riesling Kabinett Mosel-Saar-Ruwer Piesporter Goldtropfchen,15,86,Germany,1992
Savigny-les-Beaune White,19,79,Burgundy,1998
Chardonnay Maipo-Napa Valleys,7,84,Chile,
Brut Champagne Reserve,32,87,Champagne,
Barbaresco,22,73,Piedmont,1995
Chardonnay Napa Valley,16,87,Napa,1992
Cabernet Sauvignon Russian River Valley,14,82,Sonoma,1994
Cabernet Sauvignon Santa Cruz Mountains Twin Mountains,14,82,Bay Area - Central Coast,1994
Chianti Montalbano,10,86,Tuscany,1996
Petite Sirah Napa Valley Aida Vineyard,28,90,Napa,1996
Gevrey-Chambertin Vieilles Vignes,,95,Burgundy,1993
Zinfandel Dry Creek Valley,16,90,Sonoma,1994
Chardonnay Kumeu Mate's Vineyard,42,89,New Zealand,1996
Zinfandel Mendocino County Barrel Select,14,84,Mendocino Lake,1997
Chablis Domaine de Vaudon,20,93,Burgundy,1996
Riesling Spätlese Mosel-Saar-Ruwer Piesporter Goldtropfchen,24,72,Germany,1993
Pinot Noir Napa Valley Los Carneros,19,83,Carneros,1992
Pinot Noir Geelong,24,83,Australia,1996
Chardonnay Monterey,10,78,Bay Area - Central Coast,1996
Sancerre Selection Premiere Vieilles Vignes,12,87,Loire,1992
Sauvignon Blanc Monterey County,9,87,Bay Area - Central Coast,1993
Semillon Clare Valley,11,87,Australia,1995
Brut Champagne,29,83,Champagne,
Merlot Margaret River,16,79,Australia,1994
Pinot Noir San Luis Obispo County Les Galets Vineyard,30,86,South Coast,1996
Chianti Classico,,80,Tuscany,1995
Cote-Rotie La Mouline,200,95,Rhone,1995
Puligny-Montrachet Les Folatieres,38,87,Burgundy,1995
Rioja White,9,81,Spain,1998
Chardonnay Columbia Valley,9,85,Washington,1997
Muscat Canelli Texas Late Harvest Glory,15,75,Texas,1997
Puligny-Montrachet La Garenne,,79,Burgundy,1997
Chianti Classico,18,86,Tuscany,1998
Batard-Montrachet,,90,Burgundy,1994
Semillon Colchagua Valley,8,79,Chile,1998
Chambolle-Musigny,43,87,Burgundy,1998
Pinot Gris Willamette Valley Ridgecrest Vineyards,14,82,Oregon,1996
Shiraz-Cabernets McLaren Vale J.S.M.,24,85,Australia,1997
Gewurztraminer Alsace,17,74,Alsace,1996
Terra Alta White Alta Mar Blanc de Nectar,7,77,Spain,1997
Pommard Les Rugiens,56,87,Burgundy,1997
Olmaia,,88,Tuscany,1992
Gevrey-Chambertin,37,84,Burgundy,1997
Chianti Classico Riserva,16,86,Tuscany,1997
Merlot Los Carneros Family Vineyard Reserve,50,87,Carneros,1997
Chardonnay California Vintner's Select,8,82,Other California,1996
Cabernet-Merlot Washington,19,78,Washington,1995
Brut Cremant de Loire Langlois,14,84,Loire,
Chardonnay Napa Valley,18,88,Napa,1992
Zinfandel Dry Creek Valley Tradizionale,19,83,Sonoma,1997
Clos St.-Denis,79,91,Burgundy,1993
Gewurztraminer Robertson,10,83,South Africa,1999
Chardonnay Napa Valley Catacula Vineyard,16,84,Napa,1993
Chardonnay Howell Mountain Frederique Vineyard,40,88,Napa,1994
Chambolle-Musigny Les Veroilles,48,87,Burgundy,1998
Semillon Columbia Valley Late Harvest,8,93,Washington,1992
Beaune Clos du Dessus des Marconnets,28,81,Burgundy,1996
Chardonnay Napa Valley,13,87,Napa,1997
Sauvignon Blanc Lenswood,22,87,Australia,1998
Morey-St.-Denis,52,84,Burgundy,1997
Sangiovese Napa Valley Special Reserve,13,86,Napa,1996
Estremadura Tinta Miuda,,83,Portugal,1997
Bourgogne,14,78,Burgundy,1998
Riesling Alsace Grand Cru Goldert Clos St.-Imer La Chapelle,40,89,Alsace,1995
Gamay Nouveau Texas,5,80,Texas,1997
Cabernet Sauvignon North Coast,16,82,Other California,1995
Chardonnay Trentino Vigneto I Piovi,12,78,Northeast,1995
Gewurztraminer Alsace Herrenweg de Turckheim,25,88,Alsace,1998
Cotes du Rhone-Villages Rasteau,14,86,Rhone,1998
Chardonnay Southeastern New England Silver Label,13,85,New England,1993
Gewurztraminer Alsace,15,85,Alsace,1998
Pinot Noir Santa Maria Valley Bien Nacido Vineyard Grand Reserve,14,84,South Coast,1993
Chardonnay Monterey,16,85,Bay Area - Central Coast,1996
Coteaux du Languedoc Montpeyroux Cote Rousse,38,86,Languedoc-Roussillon,1997
Chianti Tenuta del Fondatore La Commenda,23,82,Tuscany,1995
Sauvignon Collio,18,85,Northeast,1997
Chardonnay California,8,85,Other California,1995
Pomerol,,,Bordeaux,1998
Greco di Tufo,20,77,Other Italy,1997
Fume Blanc Paarl Cru Monro Oak Matured,,88,South Africa,1994
Riesling Oregon Dry,8,89,Oregon,1996
Zinfandel Napa Valley Hayne Vineyard,35,94,Napa,1995
Pinot Noir Napa Valley Carneros,9,81,Carneros,1993
Pinot Grigio Veneto,5,83,Veneto,1993
French Colombard California Premium Select,8,80,Other California,
Musigny,660,95,Burgundy,1996
Sancerre,9,77,Loire,1993
Fume Blanc Sonoma County,13,85,Sonoma,1999
White Zinfandel California,5,78,Other California,1994
Pinot Grigio Mendocino,14,79,Mendocino Lake,1997
St.-Veran Domaine de Curis,,80,Burgundy,1995
Macon Blanc-Villages Chateau des Jacques,12,71,Burgundy,1997
Podere Cavalieri Verdicchio di Matelica,10,77,Other Italy,1992
Bourgogne-Hautes Cotes de Nuits,22,81,Burgundy,1992
Gewurztraminer Alsace,16,79,Alsace,1997
Chardonnay Napa Valley Founder's Reserve,30,90,Napa,1993
Chianti Colli Senesi,15,81,Tuscany,1997
Vintage Port,50,90,Portugal,1997
Sauvignon Blanc Columbia Valley,7,86,Washington,1992
Zinfandel Russian River Valley Collins Vineyard,16,88,Sonoma,1994
Cote-Rotie,32,79,Rhone,1994
Cabernet Sauvignon Maule Valley,5,83,Chile,1994
Chardonnay Napa Valley,23,90,Napa,1994
Yakima Valley,35,88,Washington,1996
Pinot Noir Sonoma County,13,81,Sonoma,1994
Ice Wine Marlborough,13,83,New Zealand,1995
Vin Santo Val d'Arbia in Pincis,34,87,Tuscany,1993
Chardonnay Sonoma Valley Sangiacomo Ranch Special Selection,15,89,Sonoma,1993
Siena Sonoma County,28,87,Sonoma,1996
Chianti Classico Castello di Monna Lisa Riserva,28,85,Tuscany,1997
Weissburgunder Ruster Ausbruch Neusiedlersee-Hugelland Essenz,,92,Burgenland,1995
Tresor Reserve Sonoma County,65,91,Sonoma,1996
Cabernet Sauvignon California,7,75,Other California,1996
Chardonnay Santa Barbara County Sierra Madre Vineyards,11,90,South Coast,1993
Chardonnay Finger Lakes,9,84,Finger Lakes,1996
Pinot Grigio Trentino,9,81,Northeast,1993
Toscana Ardingo,42,84,Tuscany,1997
Brut Champagne Mis en Cave en 1995 Reserve,42,91,Champagne,
Pinot Grigio,5,75,Northeast,1993
Chardonnay Vin de Pays d'Oc Les Marionnettes,8,81,Other France,1997
Pinot Noir Russian River Valley,21,81,Sonoma,1997
Coteaux du Languedoc Pic St.-Loup Jeunes Vignes de l'Hortus,9,82,Languedoc-Roussillon,1996
Johannisberg Riesling Finger Lakes Semi-Dry,10,88,Finger Lakes,1994
Cabernet Sauvignon Colchagua Valley,7,78,Chile,1996
Chardonnay Edna Valley Reserve,15,83,South Coast,1995
Cotes de Francs,10,88,Bordeaux,1997
Riesling Spätlese Rheinhessen Nackenheim Rothenberg,24,91,Germany,1997
Bourgogne Les Bons Batons,,80,Burgundy,1994
Toscana Batar,55,87,Tuscany,1997
Beaune Clos des Mouches,43,85,Burgundy,1995
Rioja White,7,84,Spain,1997
Cabernet Sauvignon Sonoma County Mohrhardt Ridge Vineyard,15,85,Sonoma,1995
Chardonnay Vin de Pays d'Oc,8,85,Other France,1997
Chablis Vaudesir,48,89,Burgundy,1996
Barolo Bussia Dardi Le Rose,46,89,Piedmont,1996
Chardonnay Vin de Pays de Peloponnese,14,79,Greece,1996
Cabernet Sauvignon Napa Valley Reserve,70,93,Napa,1995
Bourgogne,11,83,Burgundy,1992
Sauvignon Blanc Amador County,8,82,Sierra Foothills,1993
Cabernet Sauvignon Maule Valley,6,82,Chile,1997
Brut Carneros Rouge de Noir,25,78,Carneros,1995
a Notre Terre California,8,79,Other California,1992
Chianti Classico Riserva,,80,Tuscany,1996
Cabernet Sauvignon Walla Walla Valley Seven Hills Vineyard Reserve,40,88,Washington,1994
Chardonnay Alexander Valley Reserve,20,90,Sonoma,1993
Chardonnay Napa Valley Frank-Rombauer Larkmead Cellars,27,88,Napa,1997
Chardonnay Santa Cruz Mountains Saratoga Vineyard,23,89,Bay Area - Central Coast,1995
Valpolicella Classico Serego Alighieri Rosso delle Possessioni,15,88,Veneto,1998
Siena Sonoma County,28,89,Sonoma,1994
Nuits-St.-Georges Clos de Thorey,39,85,Burgundy,1995
Sauvignon Trentino,,84,Northeast,1998
Chardonnay Mendocino Ridge Du Pratt Vineyard,24,83,Mendocino Lake,1998
Riesling Alsace Grand Cru Pfersigberg,20,87,Alsace,1995
Gevrey-Chambertin Lavaux-St.-Jacques,43,87,Burgundy,1994
Pinot Noir Qualitätswein Trocken Neusiedlersee Junger Berg,22,82,Burgenland,1997
Chardonnay Santa Barbara County Bien Nacido Vineyard,26,87,South Coast,1996
Pessac-Leognan,23,85,Bordeaux,1993
Haut-Medoc,30,82,Bordeaux,1995
Zinfandel Napa Valley Limited Reserve,17,88,Napa,1993
Seyval Blanc Washington,8,84,Washington,1994
Langhe Conteisa,130,93,Piedmont,1996
Chardonnay California,10,82,Other California,1997
Merlot Sonoma Valley,17,88,Sonoma,1993
Merlot Columbia Valley,17,84,Washington,1998
Gevrey-Chambertin,,83,Burgundy,1994
Zinfandel Napa Valley,13,68,Napa,1992
Santenay Clos Faubard,22,84,Burgundy,1996
Pouilly-Fume Domaine de St.-Laurent-l'Abbaye,15,90,Loire,1995
Barbera d'Alba Serraboella,21,83,Piedmont,1996
Aloxe-Corton Vieille Vigne,30,84,Burgundy,1996
Pinot Noir Wild Horse Valley,24,87,Napa,1994
Nuits-St.-Georges Les Damodes,100,88,Burgundy,1998
Rioja Reserva,18,85,Spain,1995
Pinot Noir Sonoma Valley Estate Vineyards,17,87,Sonoma,1995
Riesling Spätlese Halbtrocken Rheingau,15,80,Germany,1992
Bourgogne Hautes-Cotes de Nuits,17,81,Burgundy,1996
Bandol White Mas de la Rouviere,12,84,Other France,1993
Chardonnay Knights Valley Clos des Pierres,24,75,Sonoma,1994
Pessac-Leognan,,,Bordeaux,1998
Sangiovese Monticello Reserve,20,81,Virginia,1997
"Zinfandel Napa Valley Moore ""Earthquake"" Vineyard",25,94,Napa,1994
Sauvignon Blanc Lenswood,26,87,Australia,1999
Chablis Vau de Vey,25,89,Burgundy,1996
Muscat Rutherglen,50,87,Australia,
Chardonnay Virginia Madeleine's,15,82,Virginia,1998
Crozes-Hermitage Clos des Grives,23,92,Rhone,1998
Rosso di Montalcino Vigna della Fonte,23,85,Tuscany,1998
Cornas Reynard,32,96,Rhone,1995
Toro Colegiata,8,83,Spain,1998
St.-Emilion,35,86,Bordeaux,1994
Fume Blanc Columbia Valley Dry,8,88,Washington,1992
Condrieu Les Terrasses de l'Empire,39,88,Rhone,1998
Fleurie Chateau de Grand Pre,10,86,Beaujolais,1993
Cabernet Sauvignon Yakima Valley,21,86,Washington,1993
Brut North Coast,15,86,Other California,
Pinot Blanc Okanagan Valley,11,77,Canada,1998
Barbaresco,43,86,Piedmont,1993
Cabernet Sauvignon Napa Valley Reserve,34,88,Napa,1992
Chardonnay Vin de Pays du Jardin de la France Domaine La Moriniere,7,81,Loire,1996
Chianti Classico Montornello,17,78,Tuscany,1998
Sauvignon Awatere Valley,20,88,Australia,1996
Riesling Finger Lakes Dry,8,83,New York,1993
Pinot Blanc Monterey County White Burgundy Fifth Generation Family Selection,9,82,Bay Area - Central Coast,1995
Riesling Alsace Vendange Tardive,65,90,Alsace,1995
Cabernet Sauvignon Washington Canyon,7,86,Washington,1992
Pouilly-Fuisse Vieilles Vignes,22,85,Burgundy,1993
St.-Emilion,25,85,Bordeaux,1993
Sauvignon Blanc Dry Creek Valley,12,82,Sonoma,1994
Puligny-Montrachet,36,70,Burgundy,1997
Puligny-Montrachet Hameau de Blagny Vieille Vigne,60,88,Burgundy,1997
Cabernet Sauvignon Dry Creek Valley Red Table Wine Fourth Rack,9,83,Sonoma,1992
Chardonnay Sonoma County,10,87,Sonoma,1995
Cabernet Sauvignon Vin de Pays d'Oc,7,78,Other France,1997
Cotes du Luberon Rose,10,83,Rhone,1997
Sauvignon Blanc Marlborough,13,85,New Zealand,1993
Cabernet Sauvignon Mendoza Uvas del Sol Gaucho Reserve,13,78,Argentina,1997
Zinfandel Napa Valley Dickerson,20,89,Napa,1993
Meursault Les Narvaux,39,82,Burgundy,1997
Brut Champagne President Tete de Cuvee,40,90,Champagne,
Gigondas La Cuvee Classique,18,83,Rhone,1996
Shiraz-Cabernet South Eastern Australia Captain's Selection,7,76,Australia,1992
Pinot Noir Napa Valley Carneros,,87,Carneros,1994
St.-Emilion,54,88,Bordeaux,1996
Merlot Aprilia,13,84,Other Italy,1993
Barbaresco,20,75,Piedmont,1992
Pinot Grigio Grave del Friuli,9,81,Northeast,1995
Chardonnay Knights Valley Clos des Pierres,19,85,Sonoma,1992
Chianti Classico,10,84,Tuscany,1993
St.-Emilion,50,90,Bordeaux,1993
Cabernet Sauvignon Maipo Valley Puente Alto Vineyard Don Melchor Private Reserve,23,90,Chile,1994
Merlot Curico Valley Special Cuvee,10,86,Chile,1997
Omaggio Four Generations Sonoma County,45,88,Sonoma,1997
Ribera del Duero Vina Mayor Crianza,10,84,Spain,1997
Marsannay Les Vaudenelles,26,86,Burgundy,1996
Gewurztraminer California,7,85,Other California,1997
Chianti Classico Riserva,23,87,Tuscany,1995
Riesling Auslese ** Mosel-Saar-Ruwer Brauneberger Juffer-Sonnenuhr,,79,Germany,1994
Richebourg,220,95,Burgundy,1995
Riesling Spätlese Rheingau Hattenheimer Wisselbrunnen,18,82,Germany,1994
Merlot Napa Valley Reserve,75,93,Napa,1997
Merlot Napa Valley Windfall Vineyard,50,90,Napa,1996
Chardonnay Vin de Pays d'Oc,7,74,Other France,1992
Saumur White,11,85,Loire,1994
Cotes du Rhone Les Forots,15,85,Rhone,1998
Franciacorta Dosage Zero,,87,Other Italy,1994
Sauvignon Blanc Calaveras County,9,89,Sierra Foothills,1995
Chardonnay McLaren Vale,9,86,Australia,1997
Sicilia Red,6,82,Other Italy,1998
Pinot Noir Monterey Reserve,18,88,Bay Area - Central Coast,1995
Chardonnay Colchagua Valley,8,77,Chile,1998
Riesling Spätlese Rheingau Oestricher Lenchen,20,85,Germany,1993
Fume Blanc Sonoma County,10,87,Sonoma,1992
Barolo Ciabot Manzoni,35,90,Piedmont,1993
Chardonnay Grave del Friuli,12,82,Northeast,1995
Spectrum Alexander Valley Meritage,14,87,Sonoma,1996
Zinfandel Dry Creek Valley,16,90,Sonoma,1997
Viognier Central Coast,20,87,Other California,1998
Marsannay White Le Clos,25,83,Burgundy,1998
Chablis La Foret,23,84,Burgundy,1998
Chardonnay Maipo Valley,6,78,Chile,1993
Chardonnay Canterbury Premiere Reserve,,83,New Zealand,1992
Vin du Mistral Le Mistral California,15,88,Other California,1993
Chardonnay Toscana Le Bruniche,13,87,Tuscany,1998
Eshcol Red Napa Valley,9,80,Napa,
Chablis Fourchaume,25,89,Burgundy,1995
Tokay Esszencia,400,99,Hungary,1993
Chardonnay Central Coast Coastal Vines,9,85,Other California,1996
Pinot Noir California Grand Cuvee,19,86,Other California,1993
Cotes du Rhone-Villages Rasteau Cuvee Paul Emile,14,83,Rhone,1997
St.-Emilion,,,Bordeaux,1998
Volnay Clos de la Bousse d'Or,61,86,Burgundy,1992
Chardonnay Sonoma Valley Durell Vineyard,50,95,Sonoma,1997
Pinot Noir Russian River Valley Olivet Lane,22,87,Sonoma,1993
Pinot Grigio Collio Vendemmia Tardiva,12,84,Northeast,1998
Cotes de Bourg,,77,Bordeaux,1995
Volnay Pitures,53,79,Burgundy,1996
Brut Blanc de Blancs Finger Lakes,11,77,Finger Lakes,
Brut Washington,11,88,Washington,
Riesling Alsace Hunawihr Clos Windsbuhl,40,86,Alsace,1993
Chardonnay South Eastern Australia,9,85,Australia,1996
Gewurztraminer North Fork of Long Island,15,85,Long Island,1997
Pinot Noir Russian River Valley Rochioli Vineyard,50,88,Sonoma,1997
Cabernet Sauvignon Napa Valley,25,84,Napa,1997
Bardolino,9,78,Veneto,1994
Chianti Classico,10,74,Tuscany,1993
Chianti Classico Riserva,21,76,Tuscany,1994
Corton Le Rognet,85,87,Burgundy,1998
Chardonnay Napa Valley Unfiltered,30,92,Napa,1994
Gigondas,17,81,Rhone,1994
Cabernet Sauvignon Atlas Peak,34,88,Napa,1994
Gevrey-Chambertin,42,90,Burgundy,1993
Pomerol,38,85,Bordeaux,1994
Vosne-Romanee,29,79,Burgundy,1992
Chardonnay Santa Maria Valley Camelot Vineyard Single Vineyard Series,17,84,South Coast,1998
Chardonnay Columbia Valley,10,86,Washington,1998
Nuits-St.-Georges Les Damodes,35,83,Burgundy,1992
Beerenauslese Neusiedlersee Seewinkler Impressionen,,84,Burgenland,1997
St.-Aubin Les Frionnes,28,88,Burgundy,1998
Fiano di Avellino Campanaro,33,89,Other Italy,1998
Barolo Rocche dei Riviera di Castiglione,58,85,Piedmont,1993
Chardonnay California Premium Selection,8,82,Other California,1996
Clos de Vougeot,117,97,Burgundy,1998
Pinot Grigio Grave del Friuli,12,85,Northeast,1994
Vosne-Romanee Les Chaumes,88,86,Burgundy,1997
Chardonnay Malibu-Newton Canyon,20,87,South Coast,1997
Chianti Classico Panzano,19,83,Tuscany,1994
Sauvignon Blanc Trocken Sudsteiermark Nussberg,,86,Steiermark,1995
Sauvignon Blanc Marlborough Private Bin,16,88,New Zealand,1997
Cabernet Sauvignon Sonoma Valley Rhinefarm Vineyards,20,82,Sonoma,1994
Barossa Valley,20,91,Australia,1995
Margaux,27,84,Bordeaux,1994
Hill of Grace Eden Valley,200,97,Australia,1996
Extra Dry Champagne White Star,29,82,Champagne,
Chardonnay Mendocino,11,77,Mendocino Lake,1992
Chianti Classico Don Tommaso,35,91,Tuscany,1997
