p_name,p_price,p_score,p_region,p_year
Dao White Maxiais,10,82,Portugal,1997
Claret Dry Creek Valley,24,87,Sonoma,1993
Brut Champagne Cuvee du Centenaire,50,86,Champagne,
Syrah-Cabernet Sauvignon Tulum Valley Seleccion Especial,8,84,Argentina,1998
Chianti Classico,13,83,Tuscany,1994
Cabernet Sauvignon Colchagua Valley Laura Hartwig,13,85,Chile,1997
Barolo Cannubi Boschis,105,94,Piedmont,1996
Tokay Pinot Gris Alsace,,87,Alsace,1995
Toscana Berardenga Maestro Raro,54,95,Tuscany,1997
St.-Aubin En Remilly,44,92,Burgundy,1997
Chardonnay Oregon Ridgecrest Vineyards,18,84,Oregon,1994
Barbera d'Asti Superiore Valle del Sole,22,86,Piedmont,1993
Vireton Oregon,25,89,Oregon,1998
Chardonnay Russian River Valley River Block,42,89,Sonoma,1998
Chianti Classico O'Leandro Riserva,42,85,Tuscany,1997
Merlot Piave,8,81,Veneto,1995
Sauvignon Blanc Lontue,7,78,Chile,1997
Riesling Kabinett Mosel-Saar-Ruwer Erdener Treppchen,15,82,Germany,1997
Cabernet Sauvignon Sonoma County,9,85,Sonoma,1992
Riesling Spätlese Nahe Niederhäuser Hermannshohle,22,85,Germany,1995
Vin de Pays du Jardin de la France Domaine la Moriniere White,10,81,Loire,1992
Chardonnay Rancagua,8,84,Chile,1996
Corton Renardes,185,92,Burgundy,1993
Chardonnay Santa Barbara County,16,92,South Coast,1997
Cabernet Franc Napa Valley Aviemore Vineyard,18,87,Napa,1995
Cabernet-Merlot Columbia Valley,9,84,Washington,1997
Sauvignon Blanc Santa Ynez Valley Limited Selection,20,84,South Coast,1998
Rioja Reserva,14,88,Spain,1996
Barbaresco,41,83,Piedmont,1997
Barolo,42,84,Piedmont,1995
Asti The Royal Preserves,11,86,Piedmont,
Rosso di Montepulciano,15,86,Tuscany,1998
Haut-Medoc,15,78,Bordeaux,1995
Bourgogne Aligote,,75,Burgundy,1997
Shiraz-Cabernet South Eastern Australia Stamps of Australia,7,81,Australia,1993
Sauvignon Blanc Lontue Valley 35 Sur,8,86,Chile,1998
Shiraz-Cabernet South Eastern Australia,9,84,Australia,1996
Clos Vougeot Le Grand Maupertuis,80,92,Burgundy,1995
Cabernet Sauvignon Napa Valley Diamond Mountain,45,92,Napa,1996
Barolo Paesi Tuoi,,77,Piedmont,1993
St.-Aubin Les Charmois,35,87,Burgundy,1995
Firebreak Napa Valley,25,88,Napa,1994
Chablis Cote de Lechet,25,75,Burgundy,1997
Chardonnay Santa Maria Valley Bien Nacido Vineyard Block W Gravelly Vein,30,91,South Coast,1996
Merlot Napa Valley,19,87,Napa,1993
St.-Joseph,14,83,Rhone,1995
Zinfandel Russian River Valley Porter-Bass Vineyard,15,82,Sonoma,1994
Chardonnay Columbia Valley,12,86,Washington,1996
Tokay Pinot Gris Alsace,12,83,Alsace,1998
Merlot Napa Valley Three Palms Vineyard,47,90,Napa,1996
Zinfandel Dry Creek Valley,15,84,Sonoma,1993
Puligny-Montrachet Les Folatieres,60,90,Burgundy,1998
St.-Estephe,25,86,Bordeaux,1994
Merlot South Eastern Australia Vanessa's Vale,8,80,Australia,1997
Sauvignon Blanc Lake County,8,79,Mendocino Lake,1993
Cabernet Sauvignon Maule Valley,6,82,Chile,1999
Cotes du Roussillon-Villages,12,82,Languedoc-Roussillon,1998
Viognier Dry Creek Valley,20,86,Sonoma,1995
Regnie,11,86,Beaujolais,1995
Sicilia Red Don Pietro,19,81,Other Italy,1997
Tawny Port 20 year old,32,82,Portugal,
Brut Rose Champagne,34,89,Champagne,
Vin de Crete Kourtaki,7,81,Greece,1994
Ghiaie della Furba,35,87,Tuscany,1994
Toscana Felciaia,24,87,Tuscany,1996
Rioja Vina Cubillo Crianza,10,80,Spain,1992
Chardonnay Sierra Foothills,10,85,Sierra Foothills,1997
Gavi di Rovereto Vigna Vecchia,22,78,Piedmont,1999
Gruner Veltliner Qualitätswein Trocken Kamptal Alte Reben,,89,Niederosterreich,1998
Coteaux du Layon,14,89,Loire,1996
Cabernet Sauvignon Napa Valley,38,91,Napa,1995
Vendimia Livermore Valley Red,28,86,Bay Area - Central Coast,1995
Syrah Santa Barbara County,16,82,South Coast,1998
St. Mary's Blanc Virginia,8,76,Virginia,1998
Julienas,16,84,Beaujolais,1992
Cabernet Sauvignon Dry Creek Valley,16,89,Sonoma,1992
Chardonnay Central Coast Barrel Fermented,7,80,Other California,1992
Riesling Kabinett Mosel-Saar-Ruwer Graacher Himmelreich,12,84,Germany,1994
Chardonnay California Mariage,20,90,Other California,1997
Cabernet Sauvignon Valle del Cachapoal,9,83,Chile,1994
